"","Released","Age","Gender","Employed","Records","Priority"
"1212","Yes",18,"M","No",5,"Common"
"1213","Yes",24,"M","Yes",0,"Common"
"1214","Yes",34,"M","Yes",3,"Common"
"1215","Yes",21,"M","No",4,"Considerable Attention"
"1217","Yes",16,"M","Yes",4,"High Attendition"
"1219","No",21,"M","Yes",4,"Considerable Attention"
"1223","Yes",22,"M","Yes",2,"Common"
"1224","Yes",21,"F","No",4,"Considerable Attention"
"1226","No",21,"M","Yes",3,"Considerable Attention"
"1228","Yes",18,"F","Yes",0,"Common"
"1229","Yes",20,"M","Yes",3,"Considerable Attention"
"1231","Yes",45,"M","Yes",3,"Common"
"1232","Yes",31,"M","Yes",3,"Common"
"1233","Yes",27,"F","Yes",0,"Common"
"1235","Yes",24,"M","Yes",0,"Common"
"1236","Yes",18,"M","Yes",0,"Common"
"1237","No",36,"M","No",3,"Common"
"1240","Yes",18,"M","Yes",1,"Common"
"1241","Yes",17,"M","No",0,"Common"
"1242","Yes",18,"M","No",2,"Common"
"1244","Yes",38,"M","No",2,"Common"
"1246","Yes",17,"M","Yes",0,"Common"
"1248","No",18,"M","Yes",3,"Common"
"1249","Yes",17,"M","Yes",2,"High Attendition"
"1255","No",27,"M","Yes",1,"Common"
"1257","Yes",18,"M","Yes",0,"Common"
"1258","Yes",19,"M","Yes",0,"Common"
"1259","Yes",32,"F","No",0,"Common"
"1261","Yes",22,"F","Yes",0,"Common"
"1262","Yes",48,"M","Yes",1,"Common"
"1264","Yes",18,"M","Yes",2,"Common"
"1265","No",17,"M","Yes",3,"High Attendition"
"1266","Yes",19,"M","Yes",0,"Common"
"1268","No",40,"M","No",3,"Common"
"1269","Yes",22,"M","Yes",1,"Common"
"1270","Yes",19,"M","Yes",1,"Common"
"1271","Yes",24,"M","Yes",4,"Common"
"1272","Yes",18,"M","Yes",3,"Common"
"1274","Yes",15,"M","Yes",0,"Common"
"1277","Yes",19,"M","Yes",3,"Considerable Attention"
"1279","Yes",17,"M","Yes",3,"High Attendition"
"1280","Yes",23,"M","Yes",0,"Common"
"1281","Yes",43,"M","Yes",3,"Common"
"1282","Yes",21,"M","No",0,"Common"
"1286","No",15,"M","Yes",1,"Common"
"1288","Yes",33,"M","Yes",3,"Common"
"1289","Yes",19,"M","Yes",0,"Common"
"1290","Yes",17,"M","Yes",2,"High Attendition"
"1291","Yes",18,"M","Yes",2,"Common"
"1293","Yes",15,"M","Yes",0,"Common"
"1304","Yes",19,"M","Yes",0,"Common"
"1308","Yes",20,"M","Yes",1,"Common"
"1309","Yes",21,"M","Yes",2,"Common"
"1311","Yes",32,"M","No",4,"Common"
"1312","Yes",20,"M","Yes",1,"Common"
"1313","Yes",30,"M","Yes",0,"Common"
"1316","Yes",24,"M","Yes",0,"Common"
"1318","Yes",18,"M","Yes",1,"Common"
"1322","Yes",23,"M","Yes",0,"Common"
"1327","Yes",16,"M","Yes",1,"Common"
"1329","No",26,"M","Yes",3,"Common"
"1330","Yes",26,"M","Yes",0,"Common"
"1331","Yes",18,"M","Yes",2,"Common"
"1338","Yes",25,"F","No",1,"Common"
"1346","No",14,"M","Yes",0,"Common"
"1347","No",21,"M","Yes",4,"Considerable Attention"
"1348","Yes",18,"M","Yes",0,"Common"
"1351","Yes",19,"M","No",3,"Considerable Attention"
"1352","Yes",20,"M","Yes",2,"Common"
"1356","Yes",20,"M","Yes",0,"Common"
"1357","Yes",20,"M","Yes",3,"Considerable Attention"
"1359","Yes",36,"M","Yes",1,"Common"
"1360","Yes",17,"M","Yes",1,"Common"
"1361","Yes",17,"M","Yes",0,"Common"
"1362","Yes",15,"M","Yes",0,"Common"
"1365","No",15,"M","No",3,"High Attendition"
"1371","Yes",19,"M","Yes",0,"Common"
"1372","Yes",46,"M","Yes",2,"Common"
"1373","Yes",20,"F","Yes",1,"Common"
"1374","Yes",17,"M","Yes",0,"Common"
"1376","Yes",18,"M","Yes",2,"Common"
"1377","Yes",16,"M","Yes",0,"Common"
"1381","Yes",16,"M","Yes",4,"High Attendition"
"1382","Yes",27,"M","Yes",3,"Common"
"1386","Yes",28,"M","No",1,"Common"
"1388","Yes",18,"M","Yes",1,"Common"
"1390","Yes",23,"M","Yes",0,"Common"
"1393","Yes",20,"M","Yes",1,"Common"
"1396","Yes",39,"M","Yes",1,"Common"
"1397","Yes",17,"M","Yes",0,"Common"
"1398","Yes",31,"M","Yes",0,"Common"
"1399","Yes",18,"M","Yes",0,"Common"
"1401","Yes",24,"M","No",1,"Common"
"1402","Yes",18,"M","Yes",1,"Common"
"1404","No",19,"M","Yes",3,"Considerable Attention"
"1405","No",42,"M","No",3,"Common"
"1406","Yes",36,"M","No",3,"Common"
"1410","Yes",24,"M","Yes",1,"Common"
"1412","Yes",36,"M","No",3,"Common"
"1413","Yes",21,"M","No",4,"Considerable Attention"
"1416","Yes",24,"M","Yes",3,"Common"
"1419","No",23,"M","Yes",2,"Common"
"1420","Yes",33,"F","Yes",3,"Common"
"1421","Yes",18,"M","Yes",1,"Common"
"1423","Yes",21,"F","Yes",2,"Common"
"1424","Yes",17,"M","Yes",3,"High Attendition"
"1425","Yes",20,"M","Yes",0,"Common"
"1426","Yes",33,"M","Yes",0,"Common"
"1427","Yes",24,"M","Yes",0,"Common"
"1428","Yes",18,"M","Yes",0,"Common"
"1431","Yes",24,"F","Yes",2,"Common"
"1432","Yes",17,"M","Yes",3,"High Attendition"
"1433","Yes",21,"M","No",0,"Common"
"1434","Yes",23,"M","Yes",0,"Common"
"1440","Yes",19,"F","Yes",0,"Common"
"1441","Yes",21,"M","Yes",3,"Considerable Attention"
"1442","Yes",33,"M","Yes",0,"Common"
"1444","Yes",16,"F","Yes",0,"Common"
"1446","Yes",19,"F","Yes",0,"Common"
"1447","Yes",17,"M","Yes",0,"Common"
"1449","No",21,"M","No",5,"Considerable Attention"
"1453","No",45,"M","Yes",2,"Common"
"1454","Yes",20,"M","No",0,"Common"
"1456","No",16,"F","No",3,"High Attendition"
"1460","No",31,"M","No",3,"Common"
"1465","Yes",22,"M","No",3,"Common"
"1467","Yes",24,"M","Yes",0,"Common"
"1468","Yes",23,"M","Yes",0,"Common"
"1470","Yes",21,"M","No",1,"Common"
"1471","Yes",28,"M","No",0,"Common"
"1472","Yes",44,"M","No",2,"Common"
"1475","Yes",19,"M","Yes",3,"Considerable Attention"
"1476","Yes",19,"M","No",0,"Common"
"1477","Yes",20,"M","Yes",3,"Considerable Attention"
"1478","Yes",25,"M","Yes",1,"Common"
"1479","Yes",34,"M","Yes",4,"Common"
"1481","Yes",22,"M","Yes",2,"Common"
"1482","Yes",25,"M","Yes",2,"Common"
"1483","Yes",34,"M","No",3,"Common"
"1484","Yes",20,"M","Yes",4,"Considerable Attention"
"1486","Yes",17,"M","No",0,"Common"
"1487","No",19,"M","Yes",3,"Considerable Attention"
"1489","No",17,"M","Yes",3,"High Attendition"
"1492","Yes",33,"M","Yes",1,"Common"
"1497","Yes",21,"M","Yes",0,"Common"
"1498","Yes",26,"M","Yes",1,"Common"
"1499","Yes",24,"M","Yes",0,"Common"
"1501","Yes",20,"M","Yes",0,"Common"
"1502","Yes",35,"M","Yes",5,"Common"
"1503","No",22,"M","Yes",3,"Common"
"1505","Yes",19,"M","Yes",0,"Common"
"1509","Yes",18,"M","Yes",5,"Common"
"1511","Yes",18,"M","Yes",1,"Common"
"1514","Yes",21,"M","Yes",0,"Common"
"1515","Yes",15,"M","No",0,"Common"
"1516","Yes",17,"F","Yes",0,"Common"
"1517","Yes",29,"F","No",0,"Common"
"1519","Yes",22,"M","Yes",1,"Common"
"1520","No",18,"M","No",2,"Common"
"1522","Yes",23,"M","Yes",2,"Common"
"1525","No",24,"M","No",3,"Common"
"1527","No",15,"M","Yes",5,"High Attendition"
"1530","Yes",14,"M","Yes",0,"Common"
"1533","Yes",30,"F","Yes",0,"Common"
"1540","Yes",30,"M","Yes",4,"Common"
"1541","Yes",37,"M","Yes",1,"Common"
"1542","Yes",18,"M","No",2,"Common"
"1543","No",34,"M","Yes",5,"Common"
"1545","No",18,"M","Yes",3,"Common"
"1546","Yes",17,"M","Yes",0,"Common"
"1547","Yes",26,"M","Yes",0,"Common"
"1548","Yes",16,"F","Yes",3,"High Attendition"
"1549","Yes",13,"M","Yes",1,"Common"
"1550","Yes",17,"F","Yes",1,"Common"
"1552","Yes",17,"M","Yes",3,"High Attendition"
"1553","Yes",17,"M","Yes",1,"Common"
"1554","Yes",16,"M","Yes",1,"Common"
"1556","Yes",20,"M","Yes",0,"Common"
"1557","Yes",33,"M","Yes",3,"Common"
"1558","Yes",17,"M","Yes",2,"High Attendition"
"1560","Yes",26,"M","No",0,"Common"
"1561","Yes",19,"M","Yes",2,"Common"
"1562","Yes",27,"M","Yes",3,"Common"
"1563","Yes",33,"M","No",3,"Common"
"1564","No",18,"M","No",2,"Common"
"1565","Yes",24,"M","No",1,"Common"
"1567","Yes",14,"M","Yes",0,"Common"
"1570","No",31,"M","Yes",4,"Common"
"1571","Yes",27,"M","Yes",3,"Common"
"1572","Yes",21,"M","Yes",0,"Common"
"1573","Yes",21,"M","Yes",1,"Common"
"1578","Yes",18,"M","Yes",1,"Common"
"1579","Yes",20,"M","Yes",1,"Common"
"1582","Yes",16,"F","Yes",0,"Common"
"1583","Yes",15,"M","Yes",1,"Common"
"1584","Yes",27,"M","No",4,"Common"
"1585","Yes",40,"M","No",3,"Common"
"1592","Yes",19,"M","Yes",2,"Common"
"1595","Yes",23,"M","Yes",3,"Common"
"1596","Yes",16,"M","Yes",0,"Common"
"1597","No",16,"M","No",2,"High Attendition"
"1598","Yes",16,"M","Yes",2,"High Attendition"
"1600","Yes",22,"M","Yes",0,"Common"
"1602","Yes",32,"M","No",2,"Common"
"1605","Yes",30,"M","No",2,"Common"
"1607","Yes",23,"M","Yes",0,"Common"
"1608","No",38,"M","Yes",3,"Common"
"1609","No",13,"M","Yes",2,"High Attendition"
"1610","Yes",40,"M","Yes",2,"Common"
"1611","Yes",21,"M","Yes",1,"Common"
"1613","Yes",21,"F","Yes",0,"Common"
"1623","Yes",20,"M","Yes",4,"Considerable Attention"
"1626","Yes",25,"M","No",1,"Common"
"1627","Yes",18,"M","Yes",0,"Common"
"1631","Yes",17,"M","Yes",0,"Common"
"1632","Yes",44,"F","No",1,"Common"
"1635","Yes",19,"M","No",3,"Considerable Attention"
"1638","Yes",20,"M","Yes",1,"Common"
"1640","Yes",18,"M","Yes",0,"Common"
"1641","Yes",29,"M","Yes",1,"Common"
"1643","No",16,"M","Yes",0,"Common"
"1646","Yes",31,"M","Yes",2,"Common"
"1647","No",24,"M","No",4,"Common"
"1648","Yes",20,"M","Yes",0,"Common"
"1649","No",16,"M","No",1,"Common"
"1650","No",18,"M","No",5,"Common"
"1651","Yes",17,"M","Yes",0,"Common"
"1654","Yes",19,"F","No",4,"Considerable Attention"
"1655","No",21,"M","Yes",4,"Considerable Attention"
"1656","Yes",22,"M","Yes",0,"Common"
"1658","No",19,"M","Yes",4,"Considerable Attention"
"1661","Yes",39,"M","No",3,"Common"
"1666","No",30,"M","Yes",0,"Common"
"1667","Yes",20,"M","Yes",0,"Common"
"1669","Yes",19,"M","Yes",2,"Common"
"1670","Yes",17,"M","Yes",2,"High Attendition"
"1673","Yes",40,"M","Yes",4,"Common"
"1674","Yes",19,"M","No",4,"Considerable Attention"
"1675","Yes",21,"M","Yes",0,"Common"
"1679","No",29,"M","No",5,"Common"
"1683","Yes",14,"M","Yes",0,"Common"
"1684","Yes",23,"M","Yes",0,"Common"
"1687","Yes",17,"M","Yes",3,"High Attendition"
"1688","Yes",15,"M","Yes",0,"Common"
"1689","Yes",21,"M","No",4,"Considerable Attention"
"1693","Yes",20,"M","Yes",0,"Common"
"1694","Yes",36,"M","Yes",3,"Common"
"1695","No",37,"M","Yes",3,"Common"
"1697","Yes",28,"M","Yes",0,"Common"
"1698","Yes",38,"M","Yes",1,"Common"
"1702","Yes",19,"M","Yes",1,"Common"
"1705","No",15,"M","Yes",3,"High Attendition"
"1708","Yes",24,"M","Yes",4,"Common"
"1709","Yes",27,"F","No",2,"Common"
"1715","No",33,"M","Yes",3,"Common"
"1718","Yes",17,"M","Yes",1,"Common"
"1719","Yes",16,"M","Yes",0,"Common"
"1720","Yes",26,"M","Yes",1,"Common"
"1721","Yes",17,"M","Yes",1,"Common"
"1722","Yes",22,"M","Yes",2,"Common"
"1727","Yes",21,"M","Yes",4,"Considerable Attention"
"1728","No",34,"M","Yes",3,"Common"
"1729","Yes",22,"M","Yes",0,"Common"
"1731","Yes",18,"M","Yes",0,"Common"
"1732","Yes",18,"M","Yes",2,"Common"
"1733","Yes",18,"M","Yes",4,"Common"
"1736","Yes",32,"M","Yes",3,"Common"
"1737","Yes",26,"M","Yes",0,"Common"
"1742","No",33,"M","No",5,"Common"
"1743","Yes",18,"M","Yes",5,"Common"
"1744","No",45,"M","Yes",3,"Common"
"1748","Yes",37,"M","Yes",2,"Common"
"1749","Yes",18,"M","No",5,"Common"
"1751","Yes",22,"M","Yes",3,"Common"
"1752","Yes",30,"F","Yes",1,"Common"
"1754","Yes",17,"M","Yes",3,"High Attendition"
"1755","Yes",18,"M","No",1,"Common"
"1756","Yes",23,"M","No",5,"Common"
"1758","Yes",20,"M","Yes",2,"Common"
"1759","Yes",25,"M","Yes",0,"Common"
"1760","Yes",19,"M","Yes",2,"Common"
"1762","Yes",18,"M","Yes",0,"Common"
"1765","Yes",17,"M","Yes",0,"Common"
"1767","Yes",23,"M","No",2,"Common"
"1769","Yes",19,"M","No",2,"Common"
"1773","Yes",17,"M","Yes",0,"Common"
"1775","Yes",16,"M","Yes",0,"Common"
"1776","No",18,"M","Yes",0,"Common"
"1777","Yes",20,"M","No",1,"Common"
"1779","Yes",18,"M","No",3,"Common"
"1782","Yes",20,"M","Yes",2,"Common"
"1784","Yes",30,"M","Yes",0,"Common"
"1785","No",21,"M","Yes",2,"Common"
"1786","Yes",29,"F","No",0,"Common"
"1787","Yes",41,"M","No",3,"Common"
"1790","Yes",16,"M","Yes",4,"High Attendition"
"1794","Yes",31,"F","Yes",0,"Common"
"1796","Yes",22,"F","Yes",0,"Common"
"1797","Yes",30,"M","Yes",3,"Common"
"1798","Yes",19,"M","Yes",1,"Common"
"1800","Yes",26,"M","No",1,"Common"
"1801","Yes",34,"M","No",3,"Common"
"1802","Yes",24,"M","No",2,"Common"
"1809","Yes",19,"M","Yes",0,"Common"
"1811","Yes",33,"F","Yes",0,"Common"
"1812","Yes",30,"M","No",4,"Common"
"1820","No",47,"F","No",3,"Common"
"1822","No",20,"M","No",3,"Considerable Attention"
"1826","Yes",40,"M","Yes",2,"Common"
"1827","No",40,"M","Yes",2,"Common"
"1828","Yes",18,"M","Yes",0,"Common"
"1829","Yes",33,"M","Yes",0,"Common"
"1831","No",24,"M","Yes",3,"Common"
"1833","Yes",20,"M","Yes",1,"Common"
"1835","Yes",30,"M","No",0,"Common"
"1837","Yes",24,"M","Yes",0,"Common"
"1842","Yes",33,"M","Yes",1,"Common"
"1844","No",32,"M","Yes",1,"Common"
"1845","Yes",17,"M","Yes",2,"High Attendition"
"1846","Yes",20,"M","Yes",4,"Considerable Attention"
"1847","Yes",16,"M","Yes",2,"High Attendition"
"1848","Yes",17,"M","Yes",0,"Common"
"1850","Yes",17,"F","No",5,"High Attendition"
"1853","Yes",37,"M","Yes",0,"Common"
"1855","Yes",20,"M","No",0,"Common"
"1856","Yes",21,"M","Yes",3,"Considerable Attention"
"1857","Yes",38,"M","No",3,"Common"
"1859","Yes",17,"M","Yes",5,"High Attendition"
"1862","Yes",17,"M","Yes",0,"Common"
"1863","Yes",17,"F","Yes",0,"Common"
"1864","Yes",42,"M","Yes",0,"Common"
"1865","Yes",40,"M","Yes",1,"Common"
"1867","Yes",18,"M","Yes",0,"Common"
"1868","Yes",19,"M","Yes",0,"Common"
"1871","Yes",18,"M","Yes",0,"Common"
"1872","Yes",25,"M","Yes",4,"Common"
"1875","Yes",24,"M","Yes",2,"Common"
"1876","Yes",19,"M","Yes",1,"Common"
"1877","Yes",21,"M","No",4,"Considerable Attention"
"1882","Yes",15,"M","Yes",0,"Common"
"1883","Yes",25,"M","No",2,"Common"
"1884","Yes",49,"M","No",1,"Common"
"1887","Yes",19,"M","Yes",0,"Common"
"1888","Yes",27,"M","Yes",2,"Common"
"1892","Yes",38,"M","No",4,"Common"
"1893","Yes",17,"M","Yes",0,"Common"
"1894","Yes",36,"M","No",4,"Common"
"1896","Yes",27,"M","No",4,"Common"
"1900","Yes",36,"M","Yes",3,"Common"
"1902","Yes",28,"M","Yes",0,"Common"
"1903","Yes",23,"M","Yes",1,"Common"
"1904","Yes",17,"F","Yes",0,"Common"
"1905","Yes",17,"M","Yes",1,"Common"
"1906","No",24,"M","Yes",2,"Common"
"1908","Yes",34,"M","Yes",2,"Common"
"1911","Yes",15,"M","Yes",1,"Common"
"1912","No",16,"M","No",3,"High Attendition"
"1914","Yes",16,"M","Yes",0,"Common"
"1916","Yes",20,"M","Yes",3,"Considerable Attention"
"1917","Yes",38,"M","Yes",0,"Common"
"1918","Yes",18,"M","Yes",3,"Common"
"1919","Yes",17,"M","Yes",0,"Common"
"1920","No",24,"M","No",2,"Common"
"1921","No",23,"M","Yes",3,"Common"
"1922","Yes",17,"M","Yes",2,"High Attendition"
"1925","Yes",17,"M","Yes",3,"High Attendition"
"1926","Yes",30,"M","Yes",2,"Common"
"1928","Yes",17,"M","Yes",0,"Common"
"1929","Yes",21,"M","Yes",0,"Common"
"1930","Yes",18,"F","Yes",1,"Common"
"1932","No",42,"M","No",3,"Common"
"1941","Yes",16,"M","Yes",0,"Common"
"1942","Yes",20,"M","No",4,"Considerable Attention"
"1947","Yes",23,"M","Yes",2,"Common"
"1948","Yes",36,"M","Yes",2,"Common"
"1949","No",15,"M","Yes",3,"High Attendition"
"1950","Yes",21,"M","Yes",0,"Common"
"1955","Yes",15,"M","Yes",1,"Common"
"1957","Yes",21,"M","Yes",1,"Common"
"1958","Yes",19,"M","Yes",3,"Considerable Attention"
"1959","Yes",21,"M","Yes",0,"Common"
"1962","Yes",20,"M","Yes",1,"Common"
"1965","Yes",30,"M","Yes",3,"Common"
"1966","Yes",27,"M","Yes",3,"Common"
"1967","Yes",15,"M","Yes",0,"Common"
"1969","Yes",35,"M","No",5,"Common"
"1970","Yes",43,"M","Yes",0,"Common"
"1971","Yes",48,"M","Yes",0,"Common"
"1973","Yes",17,"M","Yes",4,"High Attendition"
"1976","Yes",18,"M","Yes",1,"Common"
"1980","No",24,"M","Yes",3,"Common"
"1983","Yes",15,"M","Yes",4,"High Attendition"
"1984","No",33,"M","Yes",3,"Common"
"1986","Yes",25,"M","No",0,"Common"
"1988","Yes",30,"M","Yes",0,"Common"
"1990","Yes",20,"M","Yes",0,"Common"
"1991","Yes",20,"M","Yes",0,"Common"
"1994","Yes",14,"M","Yes",0,"Common"
"1996","No",18,"M","Yes",3,"Common"
"2000","Yes",41,"M","Yes",0,"Common"
"2001","Yes",27,"M","Yes",0,"Common"
"2005","No",45,"M","No",4,"Common"
"2006","Yes",35,"M","No",2,"Common"
"2010","Yes",35,"M","Yes",1,"Common"
"2011","Yes",31,"M","Yes",5,"Common"
"2014","Yes",18,"M","Yes",2,"Common"
"2015","Yes",19,"M","No",4,"Considerable Attention"
"2016","Yes",20,"M","Yes",1,"Common"
"2017","No",14,"M","No",4,"High Attendition"
"2018","Yes",23,"M","Yes",3,"Common"
"2019","Yes",22,"M","Yes",0,"Common"
"2024","Yes",35,"M","Yes",1,"Common"
"2030","Yes",16,"M","Yes",4,"High Attendition"
"2037","Yes",22,"M","Yes",1,"Common"
"2038","Yes",20,"M","Yes",1,"Common"
"2039","No",23,"M","No",1,"Common"
"2041","Yes",18,"M","Yes",0,"Common"
"2042","Yes",19,"F","Yes",2,"Common"
"2043","Yes",25,"M","Yes",0,"Common"
"2048","Yes",19,"M","No",3,"Considerable Attention"
"2050","No",20,"M","Yes",4,"Considerable Attention"
"2057","No",23,"M","No",4,"Common"
"2058","No",18,"M","No",4,"Common"
"2060","Yes",18,"F","No",0,"Common"
"2061","Yes",25,"M","Yes",2,"Common"
"2062","Yes",15,"M","Yes",1,"Common"
"2063","No",19,"M","Yes",2,"Common"
"2065","Yes",40,"M","Yes",2,"Common"
"2069","No",23,"M","No",4,"Common"
"2072","No",23,"M","Yes",0,"Common"
"2074","Yes",24,"M","Yes",2,"Common"
"2080","Yes",21,"M","Yes",2,"Common"
"2082","No",60,"M","Yes",0,"Common"
"2083","Yes",21,"M","No",0,"Common"
"2084","Yes",19,"F","Yes",0,"Common"
"2085","Yes",35,"M","Yes",1,"Common"
"2086","Yes",40,"M","Yes",3,"Common"
"2087","Yes",23,"M","No",6,"Common"
"2089","Yes",23,"M","No",3,"Common"
"2092","Yes",31,"M","Yes",0,"Common"
"2094","Yes",15,"M","No",3,"High Attendition"
"2095","Yes",16,"M","Yes",1,"Common"
"2100","No",21,"M","Yes",3,"Considerable Attention"
"2101","No",19,"M","No",4,"Considerable Attention"
"2102","Yes",21,"M","No",1,"Common"
"2103","Yes",25,"M","Yes",1,"Common"
"2104","Yes",18,"M","No",1,"Common"
"2106","Yes",16,"M","Yes",3,"High Attendition"
"2108","Yes",19,"M","Yes",0,"Common"
"2109","Yes",20,"M","No",5,"Considerable Attention"
"2110","Yes",20,"M","Yes",0,"Common"
"2111","Yes",17,"M","Yes",1,"Common"
"2116","Yes",16,"M","Yes",0,"Common"
"2119","Yes",23,"M","Yes",0,"Common"
"2120","Yes",19,"M","Yes",0,"Common"
"2125","Yes",21,"M","Yes",1,"Common"
"2126","Yes",15,"M","Yes",5,"High Attendition"
"2130","Yes",42,"M","Yes",3,"Common"
"2134","Yes",14,"M","Yes",0,"Common"
"2136","Yes",18,"M","No",0,"Common"
"2138","No",19,"M","Yes",4,"Considerable Attention"
"2139","No",20,"M","Yes",4,"Considerable Attention"
"2140","Yes",19,"M","Yes",4,"Considerable Attention"
"2141","Yes",20,"F","Yes",2,"Common"
"2142","Yes",17,"M","Yes",1,"Common"
"2143","Yes",17,"M","Yes",0,"Common"
"2144","Yes",40,"M","Yes",0,"Common"
"2146","No",40,"M","No",4,"Common"
"2147","Yes",18,"M","No",0,"Common"
"2148","Yes",32,"M","Yes",0,"Common"
"2153","Yes",22,"M","Yes",0,"Common"
"2157","Yes",16,"M","No",1,"Common"
"2159","Yes",30,"M","Yes",0,"Common"
"2161","Yes",24,"M","No",3,"Common"
"2162","Yes",27,"M","Yes",1,"Common"
"2163","No",16,"M","Yes",3,"High Attendition"
"2166","Yes",22,"M","Yes",3,"Common"
"2168","Yes",48,"M","Yes",3,"Common"
"2170","Yes",14,"M","Yes",0,"Common"
"2172","Yes",31,"M","Yes",0,"Common"
"2173","Yes",27,"M","No",1,"Common"
"2178","Yes",28,"M","Yes",3,"Common"
"2180","Yes",17,"M","Yes",1,"Common"
"2183","Yes",25,"M","Yes",0,"Common"
"2184","Yes",32,"M","Yes",3,"Common"
"2186","Yes",16,"F","Yes",0,"Common"
"2188","Yes",19,"M","Yes",0,"Common"
"2189","Yes",17,"M","Yes",0,"Common"
"2190","Yes",16,"M","Yes",2,"High Attendition"
"2194","Yes",24,"M","No",2,"Common"
"2196","Yes",19,"F","Yes",1,"Common"
"2199","Yes",16,"M","Yes",3,"High Attendition"
"2202","Yes",37,"M","Yes",0,"Common"
"2203","Yes",31,"M","No",0,"Common"
"2207","Yes",17,"M","No",1,"Common"
"2208","Yes",25,"M","Yes",1,"Common"
"2212","Yes",20,"M","Yes",2,"Common"
"2213","Yes",30,"M","Yes",0,"Common"
"2219","Yes",23,"M","Yes",0,"Common"
"2221","Yes",45,"M","Yes",3,"Common"
"2223","Yes",30,"M","Yes",1,"Common"
"2224","Yes",31,"M","Yes",2,"Common"
"2226","Yes",21,"F","Yes",0,"Common"
"2227","No",42,"M","Yes",4,"Common"
"2228","Yes",23,"M","Yes",1,"Common"
"2229","Yes",32,"M","Yes",0,"Common"
"2231","Yes",21,"M","No",4,"Considerable Attention"
"2232","Yes",24,"M","No",1,"Common"
"2235","Yes",18,"M","Yes",0,"Common"
"2237","Yes",21,"M","Yes",3,"Considerable Attention"
"2239","Yes",30,"M","Yes",3,"Common"
"2241","No",17,"F","No",0,"Common"
"2246","Yes",20,"M","Yes",4,"Considerable Attention"
"2250","Yes",18,"M","Yes",0,"Common"
"2253","Yes",18,"M","Yes",1,"Common"
"2254","Yes",21,"M","Yes",3,"Considerable Attention"
"2255","No",19,"M","No",3,"Considerable Attention"
"2257","No",19,"M","No",2,"Common"
"2261","Yes",19,"M","Yes",0,"Common"
"2262","Yes",21,"M","Yes",1,"Common"
"2267","Yes",16,"M","Yes",0,"Common"
"2268","Yes",21,"M","No",0,"Common"
"2273","Yes",24,"M","Yes",0,"Common"
"2275","Yes",34,"M","No",0,"Common"
"2276","Yes",18,"F","Yes",0,"Common"
"2278","Yes",16,"M","Yes",0,"Common"
"2280","Yes",14,"M","Yes",0,"Common"
"2281","Yes",19,"M","No",1,"Common"
"2283","Yes",27,"M","No",1,"Common"
"2286","Yes",15,"M","Yes",3,"High Attendition"
"2288","Yes",16,"M","Yes",4,"High Attendition"
"2289","Yes",24,"M","No",3,"Common"
"2293","No",23,"M","No",4,"Common"
"2294","Yes",36,"M","Yes",1,"Common"
"2295","Yes",22,"M","Yes",2,"Common"
"2296","Yes",27,"M","Yes",2,"Common"
"2299","Yes",41,"M","Yes",3,"Common"
"2301","Yes",21,"M","Yes",4,"Considerable Attention"
"2302","Yes",21,"M","Yes",5,"Considerable Attention"
"2303","Yes",24,"M","Yes",3,"Common"
"2306","No",42,"M","No",4,"Common"
"2309","Yes",21,"M","Yes",1,"Common"
"2311","Yes",34,"M","Yes",3,"Common"
"2312","No",32,"M","No",4,"Common"
"2314","Yes",24,"M","Yes",2,"Common"
"2316","Yes",17,"M","Yes",1,"Common"
"2318","Yes",24,"M","Yes",0,"Common"
"2320","Yes",29,"M","Yes",2,"Common"
"2322","Yes",24,"M","Yes",0,"Common"
"2323","Yes",26,"M","No",4,"Common"
"2324","Yes",18,"F","Yes",0,"Common"
"2326","Yes",19,"M","Yes",0,"Common"
"2327","Yes",36,"M","Yes",2,"Common"
"2329","Yes",22,"M","Yes",0,"Common"
"2331","Yes",30,"M","No",4,"Common"
"2338","Yes",18,"M","Yes",1,"Common"
"2339","Yes",28,"M","Yes",0,"Common"
"2348","Yes",28,"M","No",3,"Common"
"2351","Yes",25,"M","Yes",2,"Common"
"2353","Yes",37,"M","Yes",3,"Common"
"2357","Yes",22,"M","Yes",4,"Common"
"2358","No",33,"M","No",4,"Common"
"2359","Yes",16,"M","Yes",2,"High Attendition"
"2361","Yes",17,"M","Yes",0,"Common"
"2362","No",33,"F","No",3,"Common"
"2363","Yes",36,"M","Yes",0,"Common"
"2368","Yes",19,"M","Yes",0,"Common"
"2370","Yes",16,"F","No",2,"High Attendition"
"2371","Yes",26,"M","Yes",0,"Common"
"2372","Yes",17,"M","Yes",0,"Common"
"2375","Yes",21,"M","Yes",2,"Common"
"2377","Yes",34,"M","No",3,"Common"
"2378","Yes",16,"M","Yes",4,"High Attendition"
"2379","Yes",19,"M","Yes",3,"Considerable Attention"
"2382","No",23,"M","Yes",1,"Common"
"2384","No",19,"M","Yes",3,"Considerable Attention"
"2387","Yes",23,"M","No",0,"Common"
"2388","Yes",20,"M","Yes",0,"Common"
"2390","Yes",39,"M","Yes",2,"Common"
"2392","No",26,"M","No",0,"Common"
"2395","Yes",21,"M","Yes",3,"Considerable Attention"
"2397","Yes",17,"M","Yes",0,"Common"
"2400","Yes",18,"F","Yes",0,"Common"
"2401","No",23,"M","Yes",1,"Common"
"2404","Yes",37,"M","Yes",4,"Common"
